	Month	Weekday	Hour	Temp	Rain	zipcode	count
465	4	1	3	41.0	0.0	11103	14
466	4	1	3	41.0	0.0	11104	4
467	4	1	3	41.0	0.0	11105	8
468	4	1	3	41.0	0.0	11106	20
469	4	1	3	41.0	0.0	11201	9
470	4	1	3	41.0	0.0	11205	9
471	4	1	3	41.0	0.0	11206	19
472	4	1	3	41.0	0.0	11207	1
473	4	1	3	41.0	0.0	11209	1
474	4	1	3	41.0	0.0	11211	71
475	4	1	3	41.0	0.0	11213	3
476	4	1	3	41.0	0.0	11215	17
477	4	1	3	41.0	0.0	11216	5
478	4	1	3	41.0	0.0	11217	22
479	4	1	3	41.0	0.0	11218	1
480	4	1	3	41.0	0.0	11219	1
481	4	1	3	41.0	0.0	11221	8
482	4	1	3	41.0	0.0	11222	13
483	4	1	3	41.0	0.0	11223	1
484	4	1	3	41.0	0.0	11225	3
485	4	1	3	41.0	0.0	11226	2
486	4	1	3	41.0	0.0	11229	1
487	4	1	3	41.0	0.0	11231	4
488	4	1	3	41.0	0.0	11233	1
489	4	1	3	41.0	0.0	11235	2
490	4	1	3	41.0	0.0	11237	7
491	4	1	3	41.0	0.0	11238	5
492	4	1	3	41.0	0.0	11249	12
493	4	1	3	41.0	0.0	11354	10
494	4	1	3	41.0	0.0	11368	3
495	4	1	3	41.0	0.0	11369	5
496	4	1	3	41.0	0.0	11372	5
497	4	1	3	41.0	0.0	11373	94
498	4	1	3	41.0	0.0	11375	13
499	4	1	3	41.0	0.0	11377	23
500	4	1	3	41.0	0.0	11378	2
501	4	1	3	41.0	0.0	11385	1
502	4	1	3	41.0	0.0	11415	1
503	4	1	3	41.0	0.0	11419	1
504	4	1	3	41.0	0.0	11430	5
505	4	1	3	41.0	0.0	11432	2
506	4	1	3	41.0	0.0	11435	3
511	4	1	4	41.0	0.0	10001	104
512	4	1	4	41.0	0.0	10002	83
513	4	1	4	41.0	0.0	10003	112
514	4	1	4	41.0	0.0	10004	2
515	4	1	4	41.0	0.0	10005	11
516	4	1	4	41.0	0.0	10006	2
517	4	1	4	41.0	0.0	10007	20
518	4	1	4	41.0	0.0	10009	102
519	4	1	4	41.0	0.0	10010	46
520	4	1	4	41.0	0.0	10011	170
521	4	1	4	41.0	0.0	10012	75
522	4	1	4	41.0	0.0	10013	56
523	4	1	4	41.0	0.0	10014	84
524	4	1	4	41.0	0.0	10016	91
525	4	1	4	41.0	0.0	10017	64
526	4	1	4	41.0	0.0	10018	53
527	4	1	4	41.0	0.0	10019	214
528	4	1	4	41.0	0.0	10020	2
529	4	1	4	41.0	0.0	10021	33
530	4	1	4	41.0	0.0	10022	79
531	4	1	4	41.0	0.0	10023	47
532	4	1	4	41.0	0.0	10024	29
533	4	1	4	41.0	0.0	10025	62
534	4	1	4	41.0	0.0	10026	15
535	4	1	4	41.0	0.0	10027	27
536	4	1	4	41.0	0.0	10028	44
