"Zipcode","DayofWeek","Hour","Temp","Rain","RFR_pred","XGB_pred","Ensemble_pred","Neighborhood"
"10003",5,15,28,0,778,993,738,"Lower East Side"
"10003",1,1,21,0,394,266,425,"Lower East Side"
"10003",4,22,24,0,1630,1951,1575,"Lower East Side"
"10003",4,13,25,0,792,879,780,"Lower East Side"
"10003",6,1,21,0,1357,1753,1284,"Lower East Side"
"10003",2,6,18,0,439,414,448,"Lower East Side"
"10003",1,0,21,0,543,554,545,"Lower East Side"
"10003",5,7,20,0,314,185,344,"Lower East Side"
"10003",2,15,29,0,793,799,799,"Lower East Side"
"10003",3,10,21,0,813,800,823,"Lower East Side"
"10003",4,12,24,0,789,858,781,"Lower East Side"
"10003",2,4,18,0,294,117,335,"Lower East Side"
"10003",1,2,20,0,301,170,332,"Lower East Side"
"10003",6,20,26,0,1028,1093,1023,"Lower East Side"
"10003",3,20,26,0,1355,1520,1332,"Lower East Side"
"10003",5,13,27,0,755,969,715,"Lower East Side"
"10003",1,20,24,0,1284,1471,1255,"Lower East Side"
"10003",2,5,18,0,304,144,340,"Lower East Side"
"10003",0,10,19,0,711,655,729,"Lower East Side"
"10003",5,8,20,0,519,415,546,"Lower East Side"
"10003",6,0,22,0,1396,1771,1327,"Lower East Side"
"10003",2,22,26,0,1345,1440,1336,"Lower East Side"
"10003",6,16,27,0,793,838,790,"Lower East Side"
"10003",4,3,20,0,395,302,419,"Lower East Side"
"10003",1,12,23,0,729,715,738,"Lower East Side"
"10003",6,11,23,0,716,826,699,"Lower East Side"
"10003",5,23,24,0,1571,1909,1511,"Lower East Side"
"10003",6,2,20,0,1296,1723,1216,"Lower East Side"
"10003",5,1,21,0,1354,1741,1283,"Lower East Side"
"10003",2,7,19,0,737,735,744,"Lower East Side"
"10003",0,7,18,0,680,635,695,"Lower East Side"
"10003",2,13,27,0,783,815,782,"Lower East Side"
"10003",4,8,20,0,791,853,784,"Lower East Side"
"10003",1,19,25,0,1253,1417,1228,"Lower East Side"
"10003",6,4,19,0,484,629,457,"Lower East Side"
"10003",1,15,25,0,756,765,760,"Lower East Side"
"10003",6,12,24,0,786,921,763,"Lower East Side"
"10003",2,8,20,0,873,893,875,"Lower East Side"
"10003",6,18,27,0,999,1092,987,"Lower East Side"
"10003",4,14,26,0,825,962,803,"Lower East Side"
"10003",1,21,24,0,1286,1495,1252,"Lower East Side"
"10003",5,17,29,0,809,1011,773,"Lower East Side"
"10003",6,8,20,0,443,303,477,"Lower East Side"
"10003",4,5,19,0,334,239,357,"Lower East Side"
"10003",2,10,22,0,791,795,797,"Lower East Side"
"10003",1,4,19,0,258,82,298,"Lower East Side"
"10003",1,23,22,0,1230,1139,1260,"Lower East Side"
"10003",6,10,22,0,654,651,660,"Lower East Side"
"10003",1,22,23,0,1295,1409,1282,"Lower East Side"
"10003",6,19,26,0,1033,1124,1022,"Lower East Side"
"10003",1,3,19,0,261,94,298,"Lower East Side"
"10003",2,0,22,0,644,724,633,"Lower East Side"
"10003",3,9,20,0,870,917,867,"Lower East Side"
"10003",3,2,18,0,403,210,447,"Lower East Side"
"10003",4,20,26,0,1449,1699,1408,"Lower East Side"
"10003",6,14,26,0,796,915,777,"Lower East Side"
"10003",1,11,22,0,722,690,735,"Lower East Side"
"10003",5,5,19,0,308,234,327,"Lower East Side"
"10003",2,23,24,0,1306,1249,1330,"Lower East Side"
"10003",5,22,25,0,1552,1851,1501,"Lower East Side"
"10003",0,6,18,0,415,393,423,"Lower East Side"
"10003",6,7,20,0,298,188,324,"Lower East Side"
"10003",3,15,26,0,811,797,820,"Lower East Side"
"10003",0,1,19,0,357,227,388,"Lower East Side"
"10003",0,2,19,0,311,194,338,"Lower East Side"
"10003",0,20,21,0,1175,1395,1138,"Lower East Side"
"10003",6,21,25,0,1014,983,1030,"Lower East Side"
"10003",1,5,19,0,271,109,308,"Lower East Side"
"10003",1,14,24,0,756,804,752,"Lower East Side"
"10003",2,11,24,0,777,772,785,"Lower East Side"
"10003",0,11,20,0,703,650,721,"Lower East Side"
"10003",1,16,25,0,746,675,768,"Lower East Side"
"10003",6,5,19,0,318,251,335,"Lower East Side"
"10003",5,0,23,0,1337,1770,1256,"Lower East Side"
"10003",4,16,27,0,799,810,803,"Lower East Side"
"10003",0,3,18,0,269,117,304,"Lower East Side"
"10003",2,9,21,0,887,919,887,"Lower East Side"
"10003",0,15,22,0,740,761,741,"Lower East Side"
"10003",6,3,20,0,996,1283,943,"Lower East Side"
"10003",3,14,26,0,818,859,815,"Lower East Side"
"10003",0,0,19,0,473,484,475,"Lower East Side"
"10003",2,14,28,0,798,855,793,"Lower East Side"
"10003",3,11,22,0,793,770,805,"Lower East Side"
"10003",5,11,24,0,701,886,667,"Lower East Side"
"10003",4,17,27,0,860,1047,827,"Lower East Side"
"10003",6,22,24,0,997,977,1010,"Lower East Side"
"10003",6,17,27,0,800,893,787,"Lower East Side"
"10003",5,16,29,0,756,878,737,"Lower East Side"
"10003",3,1,19,0,498,343,536,"Lower East Side"
"10003",5,4,19,0,478,541,469,"Lower East Side"
"10003",0,21,21,0,1182,1393,1147,"Lower East Side"
"10003",3,3,18,0,341,142,387,"Lower East Side"
"10003",4,15,26,0,816,901,804,"Lower East Side"
"10003",3,21,25,0,1404,1669,1359,"Lower East Side"
"10003",2,17,30,0,832,901,825,"Lower East Side"
"10003",3,17,27,0,852,915,846,"Lower East Side"
"10003",3,13,25,0,802,820,805,"Lower East Side"
"10003",1,17,25,0,824,905,814,"Lower East Side"
"10003",3,5,17,0,327,160,366,"Lower East Side"
"10003",0,4,18,0,272,129,305,"Lower East Side"
"10003",0,16,22,0,727,698,739,"Lower East Side"
"10003",4,1,21,0,646,752,628,"Lower East Side"
"10003",1,7,19,0,734,706,747,"Lower East Side"
"10003",2,19,29,0,1282,1401,1267,"Lower East Side"
"10003",3,7,18,0,718,728,722,"Lower East Side"
"10003",5,3,20,0,960,1234,910,"Lower East Side"
"10003",4,6,19,0,418,438,417,"Lower East Side"
"10003",5,18,29,0,1275,1481,1242,"Lower East Side"
"10003",4,23,23,0,1643,1977,1585,"Lower East Side"
"10003",3,6,17,0,461,422,474,"Lower East Side"
"10003",5,20,28,0,1386,1687,1334,"Lower East Side"
"10003",6,23,23,0,917,733,964,"Lower East Side"
"10003",1,8,20,0,849,863,853,"Lower East Side"
"10003",3,22,23,0,1480,1646,1457,"Lower East Side"
"10003",0,13,21,0,721,727,725,"Lower East Side"
"10003",4,4,19,0,356,264,379,"Lower East Side"
"10003",0,22,21,0,1174,1271,1163,"Lower East Side"
"10003",5,19,28,0,1381,1664,1332,"Lower East Side"
"10003",4,7,20,0,637,698,629,"Lower East Side"
"10003",1,18,25,0,1158,1296,1138,"Lower East Side"
"10003",6,15,26,0,802,908,786,"Lower East Side"
